ai_classification,ai_prob,category,classification,comments,dec,detnam,ep_name,exp_time,flux,id,image_url,index_in_det,light_curve_url,obs_id,obs_time,pos_err,r_dec,r_ra,r_sep,ra,records,significance,simbad_name,spectrum_url,src_name,tags,trigger,type,url,version,wxt_name
source,0.83076012134552,Unverified,Unverified,,-31.580,CMOS38,,1828.0,9.17e-12,1718124,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652658/CMOS38/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652658/CMOS38/2/v1,11916652658,2025-12-05 23:54:17,2.881,,,,144.457,https://ep.bao.ac.cn/ep/data_center/ta_records/1718124,5.46,WXT J093749-313446,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652658/CMOS38/2/v1,ep11916652658wxt38s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/528177/1308684,v1,
source,0.6037288904190063,Unverified,Unverified,,31.915,CMOS47,,1308.0,1.15e-11,1717975,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503553/CMOS47/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503553/CMOS47/1/v1,11900503553,2025-12-05 21:51:58,2.665,,,,356.928,https://ep.bao.ac.cn/ep/data_center/ta_records/1717975,5.43,WXT J234743+315456,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503553/CMOS47/1/v1,ep11900503553wxt47s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/528097/1308348,v1,
source,0.9533711671829224,Unverified,Unverified,,33.797,CMOS1,,3055.0,1.29e-11,1716461,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001034/CMOS1/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001034/CMOS1/2/v1,06800001034,2025-12-05 08:47:24,2.931,,,,39.551,https://ep.bao.ac.cn/ep/data_center/ta_records/1716461,5.43,WXT J023812+334748,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001034/CMOS1/2/v1,ep06800001034wxt1s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527337/1307266,v1,
source,0.7586071491241455,Unverified,Unverified,,18.005,CMOS4,,2532.0,5.28e-12,1715961,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502657/CMOS4/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502657/CMOS4/1/v2,11900502657,2025-12-05 02:44:17,2.294,18.005,108.440,0.29,108.440,https://ep.bao.ac.cn/ep/data_center/ta_records/1715961,5.42,WXT J071345+180017,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502657/CMOS4/1/v2,ep11900502657wxt4s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526783/1306851,v2,
source,0.9904995560646056,Unverified,Unverified,,26.695,CMOS35,,3039.0,1.42e-11,1716482,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001034/CMOS35/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001034/CMOS35/1/v1,06800001034,2025-12-05 08:56:25,3.416,,,,95.103,https://ep.bao.ac.cn/ep/data_center/ta_records/1716482,5.39,WXT J062025+264142,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001034/CMOS35/1/v1,ep06800001034wxt35s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527347/1307300,v1,
source,0.995341658592224,Unverified,Unverified,,43.384,CMOS6,,2555.0,1.84e-11,1715962,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502657/CMOS6/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502657/CMOS6/1/v2,11900502657,2025-12-05 02:44:17,2.925,43.383,109.632,3.98,109.632,https://ep.bao.ac.cn/ep/data_center/ta_records/1715962,5.36,WXT J071831+432257,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502657/CMOS6/1/v2,ep11900502657wxt6s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526784/1306853,v2,
source,0.9168656468391418,Unverified,Unverified,,5.171,CMOS25,,2066.0,1.71e-11,1716705,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503169/CMOS25/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503169/CMOS25/2/v2,11900503169,2025-12-05 10:18:03,2.572,,,,25.448,https://ep.bao.ac.cn/ep/data_center/ta_records/1716705,5.36,WXT J014148+051016,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503169/CMOS25/2/v2,ep11900503169wxt25s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527436/1307498,v2,
source,0.8704548478126526,Unverified,Unverified,,-20.439,CMOS25,,1350.0,2.52e-11,1715377,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502402/CMOS25/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502402/CMOS25/1/v1,11900502402,2025-12-05 02:17:19,3.001,,,,40.853,https://ep.bao.ac.cn/ep/data_center/ta_records/1715377,5.31,WXT J024325-202620,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502402/CMOS25/1/v1,ep11900502402wxt25s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526779/1306327,v1,
source,0.966167151927948,Unverified,Unverified,,63.309,CMOS13,,1293.0,2.71e-11,1716216,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503041/CMOS13/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503041/CMOS13/1/v1,11900503041,2025-12-05 07:28:21,3.185,,,,0.331,https://ep.bao.ac.cn/ep/data_center/ta_records/1716216,5.27,WXT J000119+631834,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503041/CMOS13/1/v1,ep11900503041wxt13s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527209/1307047,v1,
source,0.8351202011108398,Unverified,Unverified,,15.852,CMOS1,,2714.0,9.28e-12,1715959,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502657/CMOS1/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502657/CMOS1/1/v2,11900502657,2025-12-05 02:44:17,2.874,,,,123.093,https://ep.bao.ac.cn/ep/data_center/ta_records/1715959,5.27,WXT J081222+155108,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502657/CMOS1/1/v2,ep11900502657wxt1s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527061/1306848,v2,
source,0.850306510925293,Unverified,Unverified,,53.756,CMOS44,,1293.0,1.63e-11,1716249,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503041/CMOS44/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503041/CMOS44/1/v1,11900503041,2025-12-05 07:28:21,3.016,,,,29.335,https://ep.bao.ac.cn/ep/data_center/ta_records/1716249,5.25,WXT J015720+534522,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503041/CMOS44/1/v1,ep11900503041wxt44s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527215/1307111,v1,
source,0.9799519181251526,Unverified,Unverified,,19.858,CMOS22,,3045.0,1.38e-11,1716474,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001034/CMOS22/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001034/CMOS22/1/v1,06800001034,2025-12-05 08:45:27,3.196,,,,33.870,https://ep.bao.ac.cn/ep/data_center/ta_records/1716474,5.22,WXT J021529+195128,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001034/CMOS22/1/v1,ep06800001034wxt22s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527341/1307287,v1,
source,0.926365077495575,Unverified,Unverified,,-16.344,CMOS14,,1365.0,1.93e-11,1715790,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502403/CMOS14/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502403/CMOS14/1/v1,11900502403,2025-12-05 03:49:13,3.140,,,,2.739,https://ep.bao.ac.cn/ep/data_center/ta_records/1715790,5.19,WXT J001057-162039,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502403/CMOS14/1/v1,ep11900502403wxt14s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526970/1306736,v1,
source,0.9698423743247986,Unverified,Unverified,,12.723,CMOS21,,2886.0,1.35e-11,1715575,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001033/CMOS21/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001033/CMOS21/1/v2,06800001033,2025-12-05 00:07:44,3.017,,,,105.456,https://ep.bao.ac.cn/ep/data_center/ta_records/1715575,5.19,WXT J070149+124321,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001033/CMOS21/1/v2,ep06800001033wxt21s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526850/1306543,v2,
source,0.8938457369804382,Unverified,Unverified,,-22.177,CMOS43,,1497.0,1.84e-11,1716351,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502405/CMOS43/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502405/CMOS43/2/v1,11900502405,2025-12-05 06:59:57,3.066,,,,20.194,https://ep.bao.ac.cn/ep/data_center/ta_records/1716351,5.16,WXT J012047-221037,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502405/CMOS43/2/v1,ep11900502405wxt43s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527287/1307173,v1,
source,0.7871835231781006,Unverified,Unverified,,34.019,CMOS8,,2412.0,8.06e-12,1715963,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502657/CMOS8/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502657/CMOS8/1/v2,11900502657,2025-12-05 02:44:17,2.666,34.019,96.688,0.33,96.688,https://ep.bao.ac.cn/ep/data_center/ta_records/1715963,5.15,WXT J062645+340109,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502657/CMOS8/1/v2,ep11900502657wxt8s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526785/1306855,v2,
source,0.9907729625701904,Unverified,Unverified,,10.768,CMOS32,,1942.0,1.78e-11,1716708,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503169/CMOS32/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503169/CMOS32/1/v2,11900503169,2025-12-05 10:20:07,2.942,10.724,29.879,183.54,29.906,https://ep.bao.ac.cn/ep/data_center/ta_records/1716708,5.14,WXTJ 015931+104326,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503169/CMOS32/1/v2,ep11900503169wxt32s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/219569/1307505,v2,
source,0.990497350692749,Unverified,Unverified,,11.888,CMOS34,,919.0,1.79e-11,1718120,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652658/CMOS34/v1?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652658/CMOS34/2/v1,11916652658,2025-12-05 23:54:17,2.917,,,,96.224,https://ep.bao.ac.cn/ep/data_center/ta_records/1718120,5.12,WXT J062453+115317,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652658/CMOS34/2/v1,ep11916652658wxt34s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/528176/1308666,v1,
source,0.7868861556053162,Unverified,Unverified,,28.502,CMOS45,,1293.0,1.82e-11,1716251,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503041/CMOS45/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503041/CMOS45/1/v1,11900503041,2025-12-05 07:28:21,2.941,,,,17.450,https://ep.bao.ac.cn/ep/data_center/ta_records/1716251,5.12,WXT J010948+283005,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503041/CMOS45/1/v1,ep11900503041wxt45s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527217/1307114,v1,
source,0.9160789251327516,Unverified,Unverified,,18.854,CMOS24,,2972.0,9.99e-12,1715975,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502657/CMOS24/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502657/CMOS24/2/v2,11900502657,2025-12-05 02:44:17,2.941,18.854,138.697,0.25,138.697,https://ep.bao.ac.cn/ep/data_center/ta_records/1715975,5.08,WXT J091447+185183,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502657/CMOS24/2/v2,ep11900502657wxt24s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526788/1306871,v2,
source,0.8770734667778015,Unverified,Unverified,,49.526,CMOS5,,1478.0,8.93e-12,1717269,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11916652653/CMOS5/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11916652653/CMOS5/1/v1,11916652653,2025-12-05 17:30:34,2.762,,,,136.367,https://ep.bao.ac.cn/ep/data_center/ta_records/1717269,5.08,WXT J090528+493134,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11916652653/CMOS5/1/v1,ep11916652653wxt5s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527739/1307949,v1,
source,0.8373143076896667,Unverified,Unverified,,46.191,CMOS21,,1851.0,8.02e-12,1716700,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900503169/CMOS21/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900503169/CMOS21/1/v2,11900503169,2025-12-05 10:21:38,2.634,,,,11.997,https://ep.bao.ac.cn/ep/data_center/ta_records/1716700,5.08,WXT J004759+461128,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900503169/CMOS21/1/v2,ep11900503169wxt21s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527435/1307494,v2,
source,0.8846697807312012,Unverified,Unverified,,20.217,CMOS22,,1523.0,1.17e-11,1715374,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502402/CMOS22/v1?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502402/CMOS22/1/v1,11900502402,2025-12-05 02:14:26,2.840,,,,0.448,https://ep.bao.ac.cn/ep/data_center/ta_records/1715374,5.06,WXT J000147+201300,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502402/CMOS22/1/v1,ep11900502402wxt22s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526777/1306324,v1,
source,0.8211551904678345,Unverified,Unverified,,-52.242,CMOS21,,3021.0,1.21e-11,1716378,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/08500000459/CMOS21/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/08500000459/CMOS21/2/v2,08500000459,2025-12-05 05:23:07,2.981,-52.242,45.331,0.00,45.331,https://ep.bao.ac.cn/ep/data_center/ta_records/1716378,5.06,WXT J030119-521433,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/08500000459/CMOS21/2/v2,ep08500000459wxt21s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/527142/1307201,v2,
source,0.9647170305252076,Unverified,Unverified,,27.357,CMOS20,,3148.0,1.30e-11,1715574,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001033/CMOS20/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001033/CMOS20/2/v2,06800001033,2025-12-05 00:07:44,2.993,,,,117.436,https://ep.bao.ac.cn/ep/data_center/ta_records/1715574,5.06,WXT J074944+272126,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001033/CMOS20/2/v2,ep06800001033wxt20s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526849/1306542,v2,
source,0.9494030475616456,Unverified,Unverified,,1.547,CMOS3,,2438.0,1.17e-11,1715564,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001033/CMOS3/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001033/CMOS3/1/v2,06800001033,2025-12-05 00:07:44,2.937,,,,96.611,https://ep.bao.ac.cn/ep/data_center/ta_records/1715564,5.06,WXT J062627+013250,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001033/CMOS3/1/v2,ep06800001033wxt3s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526846/1306525,v2,
source,0.975777268409729,Unverified,Unverified,,52.329,CMOS14,,2987.0,1.14e-11,1715969,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/11900502657/CMOS14/v2?index_in_det=1,1,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/11900502657/CMOS14/1/v2,11900502657,2025-12-05 02:44:21,3.148,52.329,142.825,0.25,142.825,https://ep.bao.ac.cn/ep/data_center/ta_records/1715969,5.06,WXT J093118+521944,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/11900502657/CMOS14/1/v2,ep11900502657wxt14s1,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526787/1306861,v2,
source,0.8437207937240601,Unverified,Unverified,,64.883,CMOS48,,2959.931,1.15e-11,1715596,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/image/06800001033/CMOS48/v2?index_in_det=2,2,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/lc/06800001033/CMOS48/2/v2,06800001033,2025-12-05 00:07:44,2.918,,,,96.764,https://ep.bao.ac.cn/ep/data_center/ta_records/1715596,5.04,WXT J062703+645257,https://ep.bao.ac.cn/ep/data_center/obsevation_data/quick_look/spectrum/06800001033/CMOS48/2/v2,ep06800001033wxt48s2,['known_source'],telemetry,source,https://ep.bao.ac.cn/ep/data_center/source_candidate_detail/526854/1306580,v2,
